name,type,area,address,phone,fee,timings,rating,lat,lon,amenities,website
Fly Fit New Friends Colony,Gym,New Friends Colony,,,,,,28.567101,77.269764,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/fly-fit-new-friends-colony/265
Golds Gym Janakpuri,Gym,Janakpuri,,,,,,28.621927,77.087476,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/golds-gym-janakpuri/381
Golds Gym Greater Kailash,Gym,Greater Kailash,,,,,,28.541908,77.238493,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/golds-gym-greater-kailash/482
I Lift Fitness East OF Kailash,Gym,East of Kailash,,,,,,28.557032,77.244614,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/i-lift-fitness-east-of-kailash/613
I Lift Fitness Green Park Extension,Gym,Green Park Extension,,,,,,28.560704,77.203656,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/i-lift-fitness-green-park-extension/1727
Sehat World Green Dwarka,Gym,Dwarka,,,,,,28.615887,77.022434,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/sehat-world-green-dwarka/251
Cult Neo Gym Ambedkar Road,Gym,Ambedkar Road,,,,,,28.760045,77.176922,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/cult-neo-gym-ambedkar-road/2256
Cult Neo Gym Dwarka Sector 7,Gym,Dwarka Sector 7,,,,,,28.607707,77.040281,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/cult-neo-gym-dwarka-sector-7/2574
Cult Neo Gym Mahavir Enclave,Gym,Mahavir Enclave,,,,,,28.600032,77.078978,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/cult-neo-gym-mahavir-enclave/2255
Cult Neo Gym Uttam Nagar,Gym,Uttam Nagar,,,,,,28.621523,77.061106,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/cult-neo-gym-uttam-nagar/2446
Cult Saket,Gym,Saket,,,,,,28.521168,77.202224,"Locker, Shower, Washrooms",https://www.cult.fit/cult/center/saket/cult-saket/282
Cult Kalkaji,Gym,Kalkaji,,,,,,28.546948,77.258801,"Locker, Shower, Washrooms",https://www.cult.fit/cult/center/kalkaji/cult-kalkaji/244
Cult Punjabi Bagh,Gym,Punjabi Bagh,,,,,,28.672995,77.146124,"Locker, Shower, Washrooms",https://www.cult.fit/cult/center/punjabi-bagh/cult-punjabi-bagh/52
Cult Vasant Vihar,Gym,Vasant Vihar,,,,,,28.557827,77.161117,"Locker, Shower, Washrooms",https://www.cult.fit/cult/center/vasant-vihar/cult-vasant-vihar/104
